id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url
1467420407259365379,,butuh liburan sumpah muak bgt di rumah doang:'),2021-12-05T09:07:43.000Z,1122489678114910208,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467417482856046593,,butuh liburan 🥲,2021-12-05T08:56:05.000Z,1350495525607333890,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1467416525317414918,,"Ga butuh liburan, gue cuma butuh tempat buat teriak tanpa ditanya kenapa sama duit yg banyak.",2021-12-05T08:52:17.000Z,758248808820072448,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1467403922834812931,,"jujur butuh liburan banget, stress banget setahun kerja gak pernah liburan sama sekali😌",2021-12-05T08:02:12.000Z,1325460182982291458,1,7,38,0,,,,,,,,,,,,,,,,,,,,,
1467401074004803592,1.201673806156161e+18,@schfess lebih ke butuh istirahat aja sih sebenernya bukan liburan 😔,2021-12-05T07:50:53.000Z,1338435990982021120,0,0,0,0,1.467375891994927e+18,replied_to,,,,,,,,,0.0,8.0,schfess,1.201673806156161e+18,,,,,,,
1467400543630884864,,"Ga makan eneq
Makan juga eneq

Ga tau lah ini kayanya yg salah otak gue. Butuh liburan emng 🙂",2021-12-05T07:48:47.000Z,354747184,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467387887280742401,1.201673806156161e+18,"@schfess Iya entah knp 2021 sedih banget, butuh liburan biar bisa tidur tanpa mikirin tentang sekolah 😭",2021-12-05T06:58:29.000Z,1131139228530692096,0,0,0,0,1.4673418730354196e+18,replied_to,,,,,,,,,0.0,8.0,schfess,1.201673806156161e+18,,,,,,,
1467387739259961348,,butuh paket liburan hemat keliling Indonesia? Gemurai Tour &amp; Travel solusinya!,2021-12-05T06:57:54.000Z,410168277,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467381377096384512,,"Lupakan Bandung, Liburan ke Cirebon Bae! https://t.co/0m8OdYpkq1 lewat detikcom. butuh transportasi ya Taksi Cirebon. #Cirebon, #KotaCirebon, #KabupatenCirebon, #TaksiCirebon, #Naikyuk",2021-12-05T06:32:37.000Z,4848186287,0,0,0,0,,,176.0,184.0,Naikyuk,41.0,64.0,https://t.co/0m8OdYpkq1,http://tinyurl.com/mrxxfk2,tinyurl.com/mrxxfk2,,,,,,,,,,,
1467376980001624064,,"Selamat Siang Labuhanbatu ,
Weekend merupakan momen yang tepat untuk liburan dan melepaskan penat pekerjaan dan kehidupan.

Butuh Kode Referral Ruang Guru? Gunakan kode : DISKONDAFTAR

SHE WAS RAPED",2021-12-05T06:15:09.000Z,1247789446713339905,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467375554676477952,1.0427575801943448e+18,@dery_rh Wkwk selain itu remaja jompo butuh liburan #kode WKWKWKWK,2021-12-05T06:09:29.000Z,706086713987182592,0,1,0,0,1.4673555703110246e+18,replied_to,52.0,57.0,kode,,,,,,0.0,8.0,dery_rh,1.0427575801943448e+18,,,,,,,
1467372747177152515,1.106171367286702e+18,"@lolymilkita Kyk nya butuh bngt liburan loly pop, udah ijin ama luhut blm? kan mau ppkm level 3,nanti sia"" Aja liburan nya klw destinasi d tutup semua😁",2021-12-05T05:58:20.000Z,1290312297252970496,0,1,0,0,1.467360982871597e+18,replied_to,,,,,,,,,0.0,12.0,lolymilkita,1.106171367286702e+18,,,,,,,
1467369830953086977,,"sch! kita demo yuk, minta liburan. gue butuh libur banget nih 😭

✄・・・
🧐 Trivia: Mojokertensis ditemukan oleh Von Koenigswald",2021-12-05T05:46:44.000Z,1201673806156161025,1,2,10,0,,,,,,,,,,,,,,,,,,,,,
1467366870378450944,1.4213552152954225e+18,@lycolicow Aku butuh liburan T_____T,2021-12-05T05:34:58.000Z,1453726432530604058,0,0,0,0,1.4673666062799012e+18,replied_to,,,,,,,,,0.0,10.0,lycolicow,1.4213552152954225e+18,,,,,,,
1467366510628728832,,"Kasian sama anak sekolah yang dihapus liburan akhir tahunnya. Padahal beberapa orang butuh liburan bukan buat main tapi buat healing, mereka juga butuh waktu buat istirahat kayak tidur dirumah seharian atau nonton film dirumah seharian:(",2021-12-05T05:33:33.000Z,1146974281357656064,0,2,4,0,,,,,,,,,,,,,,,,,,,,,
1467356914128351232,,"alasan cuti panjang: 

liburan ke Bali ❎

butuh waktu luang untuk debunk hoax di grup whatsapp keluarga ✅ https://t.co/bYx8zNmmKg",2021-12-05T04:55:25.000Z,20055310,0,0,3,0,,,,,,106.0,129.0,https://t.co/bYx8zNmmKg,https://twitter.com/nihaqus/status/1467356914128351232/photo/1,pic.twitter.com/bYx8zNmmKg,,,,,,,,,,,
1467352663801008129,,butuh liburan,2021-12-05T04:38:31.000Z,1456513788421697538,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467352654892310532,,butuh liburan tp malah ada kabar semester ini gd liburan. stress berat ini,2021-12-05T04:38:29.000Z,1146736587364954112,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467351309560864769,,"Biru mendekap tubuh Charaka yang lebih mungil untuk beberapa saat. Toh, ia membutuhkan ini; kehangatan murni tanpa ada maksud artifisial. Setelahnya, perlahan, ia melepaskan diri dari rengkuhan, tersenyum lembut sebagai reaksi. “Terima kasih, Raka. Iya, sepertinya butuh liburan.” https://t.co/NuHCHHQ5dM",2021-12-05T04:33:08.000Z,2861795221,0,0,0,0,1.46676638770824e+18,quoted,,,,281.0,304.0,https://t.co/NuHCHHQ5dM,https://twitter.com/ABlNAWA/status/1466766387708239873,twitter.com/ABlNAWA/status…,,,,,,,,,,,
1467350552812015616,77917813.0,"@bleugreige Butuh liburan tp msh takut, Omicron.......",2021-12-05T04:30:08.000Z,73334932,0,1,0,0,1.467349959758418e+18,replied_to,,,,,,,,,0.0,11.0,bleugreige,77917813.0,,,,,,,
